Date,FondDuLac,Berlin,Poygan,Waupaca,Royalton,NewLondon,FritsePark,Menasha,Oshkosh,Stockbridge
01-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05-Dec-2020,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06-Dec-2020,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07-Dec-2020,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19-Dec-2020,0.01,0.00,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.03
20-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21-Dec-2020,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00
22-Dec-2020,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
23-Dec-2020,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.01,0.02,0.02
24-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27-Dec-2020,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28-Dec-2020,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29-Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30-Dec-2020,0.00,0.07,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
31-Dec-2020,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
